,cui,semtypes,name,abstracts,male_abstracts,female_abstracts
0,C0039798,['ftcn'],therapeutic aspects,8580,121642,124129
2,C0008059,['aggp'],Child,1135,16792,16345
6,C0019737,"['aapp', 'imft']",HLA-B Antigens,153,2080,2062
8,C0055633,"['aapp', 'horm', 'irda']",Chromogranin A,10,151,142
10,C0027466,['hcro'],National Institute of Mental Health (U.S.),16,210,260
11,C0681850,['grup'],Study Subject,139,1780,1830
19,C1856053,['dsyn'],Hydranencephaly with Renal Aplasia-Dysplasia,423,6157,6477
21,C0282440,['inpr'],Randomized Controlled Trials as Topic,2654,33558,38127
22,C0206031,['resa'],Logistic Regression,254,4050,4371
23,C0033105,['qnco'],Statistical Prevalence,590,8560,9202
24,C0030755,['bmod'],Pediatrics,422,5858,5826
26,C0030551,['famg'],parent,234,3371,3297
27,C0043038,['geoa'],Washington state,27,420,341
28,C0871489,['grup'],teams,124,1753,1952
33,C0040363,['geoa'],Togo,14049,196045,205442
34,C0220952,['inpr'],DSM-IV,304,4131,4129
35,C0009462,['grup'],Community,338,4706,5160
36,C0036056,['geoa'],Saint Lucia,67,1110,1111
37,C4048158,['sosy'],Convulsions,102,1314,1506
38,C0011298,['ocdi'],Demography,365,5287,5867
39,C0871071,['idcn'],phenomenology,2,30,30
43,C0338831,['mobd'],Manic,34,620,620
47,C0242656,['patf'],Disease Progression,1116,16014,16031
49,C0037793,['lbpr'],Specimen processing (procedure),17,231,193
50,C0087128,['tmco'],Ultradian Cycles,1,20,20
52,C0017324,['menp'],Generalization (Psychology),11,142,143
53,C0029921,['podg'],Outpatients,447,6281,6224
54,C0853193,['mobd'],Bipolar I disorder,49,930,920
57,C1257890,['popg'],Population Group,7937,113744,120321
58,C0033975,['mobd'],Psychotic Disorders,41,591,582
59,C0162867,['tisu'],Tunica Media,20,310,300
60,C0041740,"['mnob', 'orgt']",Universities,219,2389,2800
61,C0016820,['qnco'],Funds,653,10672,10870
62,C0036341,['mobd'],Schizophrenia,175,2950,2473
63,C0557651,['mnob'],Room of building - Study,8809,122126,126760
65,C1301820,['ftcn'],Obtain,645,8390,8782
67,C0868928,['ftcn'],Case (situation),673,9322,10291
69,C1707491,['qlco'],Consecutive,342,4546,4535
71,C0205314,['qlco'],New,1958,27196,28545
73,C0205082,['fndg'],Severe (severity modifier),242,3882,3783
75,C0521116,['tmco'],Current (present time),1149,15834,16330
77,C0001779,['orga'],Age,1864,26180,27758
79,C1279919,['tmco'],Early,1562,22249,23355
81,C2347026,['cnce'],Biospecimen,624,8217,8833
83,C0525045,['mobd'],Mood Disorders,31,410,460
84,C3842585,['qnco'],60%,1959,27231,28323
85,C4050231,['clna'],ADHD hyperactive symptoms mean score:Score:Pt:^Patient:Qn:Calculated,1423,19891,21081
86,C0233492,['fndg'],Elation,2,40,40
87,C1550718,['idcn'],Entity Name Part Type - given,1012,13455,14170
88,C0233681,['mobd'],Grandiose delusions,2,40,40
89,C0332257,['ftcn'],Including (qualifier),5900,83390,87638
90,C1518422,['ftcn'],Negation,8553,119530,124889
91,C0205447,['qnco'],One,3168,41955,44685
92,C1514873,['ftcn'],Requirement,800,10553,11245
93,C0947630,['lbpr'],Scientific Study,1386,19867,19812
94,C3166387,['clna'],Suicidality,31,452,501
95,C1521721,['cnce'],Supportive assistance,273,3790,3908
96,C1709763,['hcro'],Psychiatric Facility,1,20,20
97,C0746402,['mobd'],manic symptom,13,200,210
98,C0369718,"['aapp', 'imft']",N not otherwise specified Antibody,390,5383,5778
99,C0205390,['tmco'],Phase,766,10596,10901
100,C0231218,['sosy'],Malaise,66,1046,1054
101,C0243161,['idcn'],criteria,1132,16524,17375
102,C4551823,['ftcn'],instruments,58,861,942
103,C1706839,['qlco'],Applicable,51,811,692
104,C1273517,['fndg'],Used by,2521,35332,37471
105,C0439234,['tmco'],year,3888,56496,60235
106,C1521826,['inpr'],Protocol Agent,320,4858,4903
108,C3539655,['inpr'],CDISC Findings Class,1331,17755,18788
109,C0449416,['fndg'],Source,107,1372,1518
110,C2733583,['famg'],Child of subject,3,40,41
112,C1707455,['acty'],Comparison,8352,120737,127350
113,C1524063,['ftcn'],Use of,5704,79606,83570
114,C1720467,['inpr'],Only - dosing instruction fragment,1568,22012,23005
115,C1521970,['qlco'],Characteristics,470,7013,7322
116,C3472495,['inpr'],Children's global assessment scale,2,40,40
118,C2348205,['qlco'],Similarity,3759,56406,59187
119,C1524084,['ftcn'],Designated,38,580,671
120,C0205430,['ftcn'],Mixed (qualifier value),623,8525,9029
121,C1882932,['acty'],Representation (action),541,7162,7789
122,C0205172,['qnco'],More,3131,46752,48770
123,C1516048,['acty'],Assessed,6162,87424,91500
124,C0456962,['qlco'],Rapid,609,8188,8461
125,C4086204,['inpr'],ClinicalTrials.gov,7690,110861,114056
126,C0439591,['qlco'],Long duration,104,1495,1525
128,C1554159,['inpr'],HL7 Defined Rose Property - Identifier,1864,26143,26397
129,C0439092,['qnco'],Less Than,1147,16231,17061
130,C0332189,['tmco'],Episode of,471,6924,7350
131,C0443156,['spco'],Bipolar,60,891,862
132,C1510829,['tmco'],Age-Years,1424,19842,20345
134,C2917435,['phsu'],Mood Stabilizer,18,241,260
135,C4068883,['qnco'],0.6,1009,14475,15213
137,C0344315,['mobd'],Depressed mood,32,411,401
138,C0430533,['diap'],Dental diagnostic procedure,98,1429,1456
139,C4525847,['qnco'],Per Ten Thousand,256,3837,3934
140,C0450348,['qnco'],23,1729,24287,25035
141,C4319605,['qnco'],35,1422,19350,20917
142,C4071830,['tmco'],Lifetime,72,950,1202
143,C0920880,['ortf'],Stabilizer - function,7,70,91
144,C0086960,['inpr'],Schedule (document type),453,6032,6630
145,C0271185,['sosy'],Metamorphopsia,3,30,30
149,C0024441,['dsyn'],Macular Holes,10,131,140
155,C0542560,['inpr'],Academic degree,209,2835,2886
163,C0042826,['spco'],Visual Fields,12,105,180
165,C0030705,['podg'],Patients,11944,175589,176317
168,C0042791,['qnco'],Vision Disparity,1,10,10
171,C0031760,['cell'],Photoreceptors,5,50,50
172,C0234402,['phpr'],Stimulus,49,465,440
176,C1301886,['qnco'],Diameter (qualifier value),113,1544,1449
180,C0031843,['phsf'],physiological aspects,861,10990,10584
181,C1515976,['clas'],"Anatomic Structure, System, or Substance",908,12091,12450
184,C3842591,['qnco'],0%,5919,87032,89987
187,C3842590,['qnco'],10%,3855,54626,57385
190,C2594855,['mnob'],Binoculars,4,60,60
191,C1708335,['popg'],Healthy Volunteers,314,3442,3118
